,store_id,n_cust,mae_ncust,percentage_error
206,207,1640.935950413223,249.83,0.1522484774235627
207,208,535.4462809917355,228.18,0.42614919199246787
208,209,574.4876033057851,149.57,0.2603537467811776
209,210,406.09090909090907,208.9,0.5144168345645848
210,211,1887.654958677686,259.39,0.1374138842522917
211,212,590.8884297520661,179.35,0.3035259974124969
212,213,825.8367768595041,92.18,0.11162011983838083
213,214,612.7376033057851,86.0,0.1403537167231467
214,215,618.3948598130842,256.99,0.41557589931727074
215,216,818.6095041322315,206.03,0.2516828829374544
216,217,599.7169421487604,65.57,0.10933491350947243
217,218,639.0397196261682,104.38,0.1633388298008475
218,219,509.452479338843,267.99,0.5260353239379499
219,220,481.68801652892563,70.55,0.14646409621810352
220,221,517.1198347107438,116.26,0.2248221634450189
221,222,478.3698347107438,138.31,0.28912776258902695
222,223,690.1301652892562,115.76,0.1677364732368729
223,224,446.18388429752065,182.21,0.40837422957773223
224,225,520.2438016528926,131.02,0.25184346182257206
225,226,520.2086776859504,71.97,0.13834832652185827
226,227,521.3512396694215,135.47,0.2598440162641578
227,228,749.3326446280992,159.11,0.2123356044083303
228,229,928.3367768595041,112.98,0.12170152343011029
229,230,712.6838842975206,189.0,0.2651947155873937
230,231,363.46495327102804,244.24,0.6719767553981345
231,232,288.7685950413223,239.44,0.8291760396096276
232,233,962.3739669421487,247.94,0.2576337354467366
233,234,867.2458677685951,199.84,0.23043061653805744
234,235,635.8780991735537,225.84,0.35516241287995715
235,236,730.9276859504132,165.49,0.2264109065520156
236,237,486.18801652892563,111.0,0.2283067377770223
237,238,1000.7355371900826,220.49,0.22032794060567024
238,239,595.2004132231405,162.74,0.2734205090999976
239,240,586.3512396694215,198.84,0.3391141461764519
240,241,257.76446280991735,36.48,0.1415245515317655
241,242,460.18801652892563,201.5,0.4378645092061725
242,243,343.31775700934577,57.49,0.16745419899278619
243,244,456.8429752066116,140.55,0.30765494410072725
244,245,1291.0826446280992,196.9,0.15250766542270247
245,246,1196.2417355371902,260.08,0.21741425020855604
246,247,497.72520661157023,73.47,0.1476115716545108
247,248,1391.0681818181818,195.69,0.14067606646298628
248,249,498.89462809917353,134.47,0.2695358747644586
249,250,832.1425619834711,94.79,0.11391077001765333
250,251,2034.9462809917356,289.25,0.1421413443204178
251,252,1035.138429752066,214.55,0.20726696433383168
252,253,629.2892561983471,98.31,0.1562238653078378
253,254,325.8801652892562,236.05,0.7243460177776652
254,255,813.9896694214876,113.4,0.13931380736145554
255,256,1135.8904958677685,182.96,0.16107186446720545
256,257,811.1136363636364,136.86,0.16873098153492674
257,258,389.1775700934579,135.36,0.3478103837471784
258,259,3708.0764462809916,398.72,0.1075274487396007
259,260,1173.702479338843,290.34,0.24737103747412298
260,261,1189.8595041322315,232.08,0.1950482382113313
261,262,5407.743801652892,684.66,0.12660732925082946
262,263,442.1658878504673,208.95,0.4725601991048735
263,264,1161.159090909091,255.51,0.22004736646376072
264,265,180.23347107438016,113.74,0.6310703518163997
265,266,493.5681818181818,106.03,0.2148234102316158
266,267,395.39462809917353,97.99,0.24782835434835998
267,268,328.5847107438017,248.77,0.7570954821265758
268,269,1556.293388429752,301.8,0.19392230426713186
269,270,1124.4256198347107,244.47,0.21741767146495364
270,271,731.194214876033,222.46,0.304242013235452
271,272,583.7479338842975,78.5,0.13447585069407578
272,273,893.7334710743802,99.02,0.11079365739873823
273,274,1563.3471074380166,274.17,0.17537372135437318
274,275,929.4742990654206,151.19,0.16266184030265324
275,276,659.099173553719,228.56,0.3467763413624908
276,277,664.8271028037383,183.91,0.2766283131725626
277,278,642.4855371900826,86.52,0.13466450992561815
278,279,507.20327102803736,110.96,0.21876830521044946
279,280,658.2128099173553,201.15,0.305600251118261
280,281,364.4504132231405,181.1,0.4969125933988684
281,282,611.7252066115702,81.96,0.13398172760280333
282,283,665.0677570093458,109.09,0.1640283998889861
283,284,335.0514018691589,215.67,0.6436922776530313
284,285,354.49380165289256,196.86,0.5553270581378407
285,286,399.29545454545456,199.61,0.4999055153964369
286,287,1040.8714953271028,288.89,0.27754626896494444
287,288,350.60747663551405,248.14,0.7077430361188857
288,289,709.2396694214876,143.15,0.20183586194038547
289,290,631.8099173553719,96.81,0.15322646470195816
290,291,1042.1570247933885,271.21,0.26023909405952367
291,292,606.2541322314049,93.17,0.15368142672623855
292,293,1019.8760330578513,143.1,0.14031117053603986
293,294,966.2396694214876,180.32,0.1866203652225976
294,295,866.0454545454545,130.32,0.15047709022201228
295,296,702.4834710743802,106.67,0.15184698913535802
296,297,659.8719008264463,78.16,0.1184472318068245
297,298,640.0070093457944,102.87,0.16073261463988056
298,299,627.2169421487604,202.01,0.32207357044269413
299,300,1112.0743801652893,231.1,0.20780984089000526
300,301,753.4793388429752,118.11,0.1567528051683101
301,302,407.4504132231405,244.11,0.5991158484021785
302,303,552.9628099173553,59.69,0.10794577669503874
303,304,984.8305785123966,177.97,0.1807112856597393
304,305,426.8884297520661,208.27,0.48787923374021125
305,306,475.81542056074767,77.79,0.16348776571453827
306,307,287.3181818181818,227.16,0.7906217370669197
307,308,454.82851239669424,53.85,0.11839627141280203
308,309,741.2623966942149,121.72,0.1642063600458231
309,310,1025.8677685950413,247.86,0.2416100861999517
310,311,724.0826446280992,116.69,0.1611556372269272
311,312,674.7892561983471,153.25,0.22710794309824311
312,313,900.3719008264463,121.79,0.13526632704575703
313,314,722.5144628099174,148.07,0.20493707409557416
314,315,385.448347107438,204.09,0.5294872880674539
315,316,326.83677685950414,39.77,0.12168153284994533
316,317,734.1658878504672,168.65,0.22971647524210514
317,318,821.8574380165289,127.86,0.15557442700595053
318,319,1066.654958677686,197.21,0.18488640435748585
319,320,2580.7706611570247,344.35,0.1334291361812131
320,321,540.7561983471074,128.07,0.2368350106600032
321,322,691.1446280991736,166.63,0.24109280926956717
322,323,782.4979338842975,110.75,0.14153392003252988
323,324,262.6219008264463,66.68,0.2539011399664855
324,325,854.5681818181819,113.3,0.13258158027712028
325,326,527.7541322314049,220.84,0.4184524317531408
326,327,1160.2685950413222,258.95,0.2231810816104849
327,328,480.14462809917353,126.39,0.26323318559318387
328,329,776.3305785123966,169.86,0.21879854368932042
329,330,569.3264462809917,250.72,0.44038003440342005
330,331,580.555785123967,70.01,0.12059133987451466
331,332,633.7438016528926,210.1,0.33152198009989176
332,333,1082.638429752066,219.83,0.20305024647087677
333,334,698.9690082644628,176.18,0.25205695519670357
334,335,3632.913223140496,436.88,0.12025610664664767
335,336,1837.547520661157,309.65,0.16851264879864802
336,337,272.1301652892562,197.55,0.7259393672510269
337,338,789.0619834710744,123.99,0.1571359444470629
338,339,246.6095041322314,47.12,0.19107130589230809
339,340,599.2541322314049,83.31,0.13902282106889075
340,341,947.9256198347107,140.16,0.14785970235137186
341,342,718.4719626168225,103.52,0.14408356259715258
342,343,891.8574380165289,108.17,0.12128620044989216
343,344,1467.8987603305786,260.87,0.1777166157843547
344,345,453.8738317757009,171.86,0.3786514841087626
345,346,780.9566115702479,125.79,0.1610716884092671
346,347,482.43801652892563,285.82,0.592449164882227
347,348,857.4906542056075,158.58,0.18493496019138653
348,349,954.75,191.24,0.20030374443571616
349,350,672.2851239669421,218.37,0.3248175397835187
350,351,437.93388429752065,171.08,0.3906525759577279
351,352,806.6880165289256,104.72,0.1298147460409746
352,353,1326.4793388429753,261.68,0.19727408662712456
353,354,655.3161157024794,147.28,0.22474649481513242
354,355,1400.202479338843,278.47,0.19887837945515557
355,356,402.22520661157023,204.55,0.5085459504718072
356,357,1262.6157024793388,248.47,0.19678988587904556
357,358,557.650826446281,64.06,0.11487475129954094
358,359,220.51859504132233,85.79,0.38903748676579436
359,360,276.2623966942149,34.56,0.12509845861597027
360,361,513.3161157024794,108.69,0.21174086820020527
361,362,1404.8264462809918,168.64,0.12004329819277107
362,363,344.6735537190083,62.85,0.18234645310570546
363,364,526.1652892561983,103.77,0.19721939496748658
364,365,493.8761682242991,130.48,0.2641957810378514
365,366,218.3987603305785,80.72,0.36959916749444205
366,367,507.7396694214876,137.27,0.27035508207661574
367,368,895.5805785123966,125.09,0.13967475735994705
368,369,539.8925619834711,129.23,0.23936243819553935
369,370,587.8925619834711,87.46,0.14876867927180712
370,371,410.89462809917353,118.16,0.28756764367209225
371,372,958.3863636363636,141.4,0.1475396618368944
372,373,398.4896694214876,224.79,0.5641049624356429
373,374,1052.6239669421489,273.67,0.2599883800812609
374,375,698.7789256198347,126.02,0.18034316059004935
375,376,1181.5537190082644,258.98,0.21918597168597173
376,377,896.8946280991736,169.9,0.18943139436577539
377,378,1202.5103305785124,305.22,0.25381902528285355
378,379,599.8326446280992,161.85,0.2698252611782212
379,380,1771.1880165289256,322.06,0.18183275688097475
